IDENTIFIER,RESTAURANT_IDENTIFIER,DISHES_IDS,PAYMENT_METHOD,AMOUNT,CREATED_AT
1217,2,"[14, 7, 1]",meal_ticket,26,2022-08-11 13:58:08
3123,3,"[17, 3]",cheque,7,2022-08-27 15:09:11
4742,3,"[23, 10]",cheque,17,2022-09-10 11:41:49
6199,2,"[21, 11, 13]",card,14,2022-09-22 17:35:49
3500,6,"[17, 5, 4, 13]",card,21,2022-08-30 19:03:20
3604,3,"[17, 13]",card,6,2022-08-31 17:20:54
1919,2,[1],cash,6,2022-08-17 12:24:05
4054,5,[1],cash,6,2022-09-04 13:00:20
6343,3,[16],meal_ticket,6,2022-09-23 20:15:15
5461,4,[5],card,12,2022-09-16 12:55:32
7041,2,"[3, 13, 4]",cheque,10,2022-09-29 19:21:26
2987,2,"[29, 11, 3]",meal_ticket,19,2022-08-26 13:36:03
2702,1,[16],cash,6,2022-08-23 22:19:43
1797,4,"[10, 16, 19, 2]",meal_ticket,28,2022-08-16 12:51:36
1432,7,"[3, 10]",meal_ticket,11,2022-08-13 10:10:17
2984,2,[14],meal_ticket,7,2022-08-26 12:14:33
1088,1,"[16, 20]",cash,14,2022-08-10 12:39:11
144,3,"[9, 10, 13]",meal_ticket,20,2022-08-02 12:22:43
2121,2,"[17, 24]",card,14,2022-08-18 23:08:13
1761,4,"[4, 19]",cheque,10,2022-08-15 22:12:24
4167,1,"[21, 3, 19]",cash,16,2022-09-05 13:16:30
1188,5,"[3, 1, 21, 21]",card,20,2022-08-11 06:24:20
4250,3,"[17, 2, 2, 13]",card,22,2022-09-06 01:18:05
2771,4,"[20, 11, 13]",meal_ticket,17,2022-08-24 16:37:59
333,4,"[14, 28, 19]",card,28,2022-08-03 21:26:17
6335,6,"[13, 17]",meal_ticket,6,2022-09-23 19:15:56
3593,5,"[2, 13, 2]",cheque,19,2022-08-31 15:54:54
2820,4,"[7, 4, 11]",card,22,2022-08-24 22:56:48
792,7,"[14, 3, 10]",meal_ticket,18,2022-08-07 20:04:10
4726,2,"[13, 3]",cash,7,2022-09-10 05:46:26
4991,1,"[19, 14]",cash,14,2022-09-12 13:42:47
582,5,"[3, 3]",cheque,8,2022-08-05 23:55:45
3417,7,[1],meal_ticket,6,2022-08-29 23:36:55
2774,3,[3],cash,4,2022-08-24 16:54:00
3135,5,"[3, 2, 13]",meal_ticket,15,2022-08-27 18:24:43
3089,7,[10],card,7,2022-08-27 11:53:27
2228,7,"[13, 16, 1, 3]",cash,19,2022-08-19 22:37:38
2580,3,"[28, 18, 22, 1]",cash,40,2022-08-22 22:23:54
3549,3,"[13, 18]",card,9,2022-08-31 07:38:32
353,2,"[23, 5]",cash,22,2022-08-03 23:56:32
5260,1,[17],cash,3,2022-09-14 18:58:36
3834,3,"[13, 17, 19, 17]",card,16,2022-09-02 16:39:05
1347,4,"[16, 2, 20]",cash,22,2022-08-12 14:44:47
2797,2,"[17, 18, 19, 16]",meal_ticket,22,2022-08-24 20:29:55
6674,1,"[4, 13, 13, 2]",cash,17,2022-09-26 18:18:17
5732,7,"[8, 13, 3]",meal_ticket,18,2022-09-18 18:13:29
4265,1,"[16, 1]",cash,12,2022-09-06 11:43:44
5597,1,"[4, 21, 19]",cash,15,2022-09-17 14:08:35
1812,3,"[19, 19]",cheque,14,2022-08-16 13:14:24
743,2,"[11, 20]",meal_ticket,14,2022-08-07 13:30:39
3917,3,"[7, 20]",cash,21,2022-09-03 11:28:49
3211,1,"[28, 12]",cash,24,2022-08-28 11:11:11
3705,6,[24],meal_ticket,11,2022-09-01 14:52:11
1762,7,"[13, 3, 13, 13]",card,13,2022-08-15 23:18:47
3833,4,"[1, 11]",card,12,2022-09-02 16:42:25
2448,1,[20],cash,8,2022-08-21 20:46:44
1128,6,"[2, 13, 4]",cash,14,2022-08-10 18:05:07
2316,3,"[2, 4, 20]",meal_ticket,19,2022-08-20 19:18:19
4852,3,"[10, 13]",meal_ticket,10,2022-09-11 09:37:52
3088,1,"[25, 14]",cash,17,2022-08-27 11:33:43
1030,5,[10],cash,7,2022-08-09 20:26:08
6463,4,"[19, 1]",card,13,2022-09-24 20:36:20
6531,2,[9],card,10,2022-09-25 13:30:18
1548,4,"[13, 1, 1]",card,15,2022-08-14 09:15:09
5657,4,[17],card,3,2022-09-17 23:19:01
1468,4,[1],cash,6,2022-08-13 14:19:48
4503,5,[17],cash,3,2022-09-08 11:38:07
4059,2,"[16, 19, 10, 11]",card,26,2022-09-04 14:05:42
4969,3,"[21, 11, 13, 18]",meal_ticket,20,2022-09-12 09:26:18
5317,3,"[2, 21]",cheque,13,2022-09-15 06:19:38
3442,2,"[14, 14, 11]",meal_ticket,20,2022-08-30 11:14:20
173,5,[18],card,6,2022-08-02 15:26:08
1649,3,"[3, 17]",cheque,7,2022-08-14 23:38:20
1300,4,[9],cheque,10,2022-08-12 01:22:33
2569,5,"[4, 25, 10]",cheque,20,2022-08-22 20:14:44
456,3,"[2, 21, 16, 21]",cash,24,2022-08-04 22:20:26
276,2,"[23, 11, 19]",card,23,2022-08-03 13:33:50
912,3,"[27, 9, 12, 13]",cheque,35,2022-08-08 20:07:52
5988,4,"[27, 29, 14]",cash,28,2022-09-20 20:30:22
4665,7,"[11, 1]",meal_ticket,12,2022-09-09 17:01:47
961,6,"[27, 27, 20, 17]",cash,35,2022-08-09 11:18:37
2078,5,[1],cheque,6,2022-08-18 18:54:21
541,3,"[13, 2, 4]",cheque,14,2022-08-05 18:57:31
4134,3,"[25, 4]",cheque,13,2022-09-05 03:32:53
2868,1,"[25, 2]",cash,18,2022-08-25 13:54:55
4147,3,"[2, 28]",cash,22,2022-09-05 11:04:32
107,4,"[11, 16, 26]",cash,24,2022-08-01 22:52:05
706,7,"[13, 18, 2, 3]",meal_ticket,21,2022-08-06 23:25:38
46,7,"[19, 10, 2]",cheque,22,2022-08-01 14:03:46
3170,6,"[14, 2, 20]",meal_ticket,23,2022-08-27 22:51:25
5197,2,"[13, 4]",cheque,6,2022-09-14 04:42:10
7177,6,"[29, 12, 13]",meal_ticket,22,2022-09-30 21:09:57
6074,1,"[17, 10]",cash,10,2022-09-21 15:21:04
1874,1,"[11, 13, 11, 19]",cash,22,2022-08-16 22:02:21
1895,3,"[1, 10, 4, 10]",cash,23,2022-08-17 06:52:51
3507,1,"[16, 24, 7]",cash,30,2022-08-30 20:13:36
4754,4,"[12, 16, 20, 10]",cheque,31,2022-09-10 12:14:53
753,6,[26],card,12,2022-08-07 14:24:43
4719,4,"[2, 4, 13, 3]",cheque,18,2022-09-09 23:54:15
2292,6,"[4, 20]",meal_ticket,11,2022-08-20 14:54:47
950,1,"[26, 2, 17]",cash,23,2022-08-09 05:53:51
1504,3,"[9, 5, 3, 12]",cash,36,2022-08-13 20:51:18
7163,5,"[26, 5, 6, 4]",cheque,39,2022-09-30 20:43:06
902,1,[3],cash,4,2022-08-08 19:01:32
4292,2,[3],card,4,2022-09-06 14:32:15
4459,6,"[8, 14, 3, 6]",cash,34,2022-09-07 21:29:33
6134,1,"[13, 17, 3]",cash,10,2022-09-21 23:58:07
707,5,"[3, 19, 2, 2]",meal_ticket,27,2022-08-06 23:04:57
4043,6,"[13, 10, 3, 25]",card,24,2022-09-04 12:33:28
457,6,[14],card,7,2022-08-04 22:14:02
6864,4,[4],card,3,2022-09-28 11:02:37
5079,2,[4],meal_ticket,3,2022-09-13 04:39:18
1320,3,"[15, 10]",cash,17,2022-08-12 11:40:11
1798,5,[1],cash,6,2022-08-16 12:00:16
4368,2,"[13, 2, 4]",cash,14,2022-09-07 01:25:05
5120,4,"[16, 16]",card,12,2022-09-13 14:11:21
1596,4,"[4, 5]",meal_ticket,15,2022-08-14 17:05:14
2427,5,"[3, 13, 4]",card,10,2022-08-21 18:56:55
2585,1,"[20, 24, 28, 19]",cash,40,2022-08-22 22:05:30
110,7,[2],cash,8,2022-08-01 23:00:24
2146,6,[26],card,12,2022-08-19 11:03:26
250,2,"[18, 1, 10]",meal_ticket,19,2022-08-03 09:16:39
6215,2,"[17, 3, 13, 16]",card,16,2022-09-22 19:41:40
3911,4,"[6, 16, 3, 20]",card,30,2022-09-03 11:56:07
5541,4,"[17, 17, 4]",card,9,2022-09-16 23:19:57
1028,4,"[21, 13, 20, 15]",card,26,2022-08-09 20:58:34
5268,6,[13],cash,3,2022-09-14 19:45:38
2287,3,"[29, 6]",card,21,2022-08-20 14:51:28
5205,3,"[3, 4, 18]",meal_ticket,13,2022-09-14 09:52:21
5659,6,[13],meal_ticket,3,2022-09-17 23:31:29
2982,3,"[17, 20, 11, 21]",meal_ticket,22,2022-08-26 12:54:18
3501,3,"[23, 8, 19, 2]",meal_ticket,36,2022-08-30 19:18:07
2157,6,"[15, 19, 14, 15]",cheque,34,2022-08-19 12:42:11
2512,6,"[6, 27, 16]",cash,30,2022-08-22 12:50:45
56,5,[23],cash,10,2022-08-01 15:59:08
1867,6,"[16, 14, 20]",cash,21,2022-08-16 21:02:18
1211,1,[2],cash,8,2022-08-11 12:04:54
5617,5,"[3, 2, 2]",cash,20,2022-09-17 18:40:36
5174,7,"[18, 8, 17]",cheque,20,2022-09-13 21:43:32
3715,3,"[17, 1, 1]",cheque,15,2022-09-01 16:43:37
470,5,"[4, 10, 2]",meal_ticket,18,2022-08-04 23:55:49
6396,1,"[4, 12, 27]",cash,25,2022-09-24 11:50:13
3488,5,"[13, 17, 17]",cheque,9,2022-08-30 18:07:44
3272,1,"[25, 12, 24, 18]",cash,37,2022-08-28 20:50:58
294,1,"[3, 13, 16, 25]",cash,23,2022-08-03 16:46:40
1222,6,"[20, 1, 14, 7]",cheque,34,2022-08-11 13:43:42
6653,2,"[10, 20, 16, 29]",cash,30,2022-09-26 14:50:46
5312,6,"[3, 4, 2, 17]",card,18,2022-09-15 01:34:55
5922,6,"[22, 8]",cash,25,2022-09-20 11:58:37
3074,3,[13],card,3,2022-08-27 05:16:04
3844,1,"[1, 11]",cash,12,2022-09-02 18:12:26
7050,7,"[13, 16]",card,9,2022-09-29 20:39:23
3333,3,"[1, 29, 25, 6]",cheque,37,2022-08-29 12:20:00
1805,7,[5],card,12,2022-08-16 13:22:11
6839,1,"[3, 13, 3, 4]",cash,14,2022-09-27 23:53:52
2557,2,"[29, 17]",card,12,2022-08-22 19:42:53
3090,2,[9],cash,10,2022-08-27 11:20:28
2116,6,[17],cheque,3,2022-08-18 23:27:24
7147,4,[4],cheque,3,2022-09-30 18:39:43
4211,2,"[3, 2]",cheque,12,2022-09-05 19:00:48
4757,1,[6],cash,12,2022-09-10 13:37:40
973,7,"[21, 17, 16]",cash,14,2022-08-09 12:26:36
304,3,"[2, 2, 4]",card,19,2022-08-03 18:34:00
4550,2,"[2, 17, 2]",cash,19,2022-09-08 18:54:35
6272,3,"[9, 20, 26]",cash,30,2022-09-23 11:10:56
2901,1,"[3, 3, 14, 4]",cash,18,2022-08-25 18:13:07
5267,4,[4],meal_ticket,3,2022-09-14 19:37:23
4339,1,"[19, 6]",cash,19,2022-09-06 20:46:48
1587,6,"[14, 2, 11, 11]",cash,27,2022-08-14 15:05:50
513,7,"[4, 16]",cash,9,2022-08-05 13:00:21
1333,6,"[4, 20]",card,11,2022-08-12 13:59:54
885,4,"[7, 10]",cash,20,2022-08-08 16:18:21
7174,3,[21],card,5,2022-09-30 21:20:51
31,2,"[28, 24]",card,25,2022-08-01 12:04:46
1719,5,"[3, 20, 13, 2]",cheque,23,2022-08-15 18:59:33
5567,7,[3],card,4,2022-09-17 11:17:22
7003,1,[1],cash,6,2022-09-29 13:58:46
3613,7,"[13, 17, 20, 2]",cheque,22,2022-08-31 18:00:19
5848,7,"[17, 19, 3]",cheque,14,2022-09-19 18:22:04
6156,6,[17],cheque,3,2022-09-22 11:36:07
4228,6,"[20, 28, 23, 23]",card,42,2022-09-05 21:17:17
6434,6,"[11, 3, 25]",cash,20,2022-09-24 17:24:02
6018,2,"[28, 2, 17, 4]",meal_ticket,28,2022-09-20 23:48:50
4407,7,"[19, 16, 16]",card,19,2022-09-07 13:51:38
1903,7,[18],cash,6,2022-08-17 10:28:40
5779,1,"[17, 4]",cash,6,2022-09-18 23:33:22
5672,3,"[21, 1]",meal_ticket,11,2022-09-18 06:58:15
4485,6,"[3, 17, 2]",cash,15,2022-09-08 00:44:31
7186,1,"[27, 21, 2, 3]",cash,29,2022-09-30 22:01:38
5528,6,[25],cash,10,2022-09-16 21:53:22
4593,3,"[10, 25]",cash,17,2022-09-08 22:02:29
5780,2,"[2, 2, 13]",meal_ticket,19,2022-09-18 23:37:45
4779,4,"[16, 14, 24]",card,24,2022-09-10 16:16:35
635,6,"[14, 28, 24]",card,32,2022-08-06 14:07:28
6028,4,"[2, 10, 17]",meal_ticket,18,2022-09-21 07:39:35
379,4,[14],card,7,2022-08-04 11:42:57
199,5,"[13, 20, 2]",cheque,19,2022-08-02 19:29:15
7047,7,[3],cheque,4,2022-09-29 20:34:12
4918,2,"[2, 17, 4]",card,14,2022-09-11 19:02:03
3182,2,"[4, 2]",meal_ticket,11,2022-08-27 23:56:29
1508,1,"[16, 20, 5, 26]",cash,38,2022-08-13 21:56:41
4584,7,[14],cash,7,2022-09-08 21:58:30
3138,1,[13],cash,3,2022-08-27 18:50:27
4927,3,"[23, 11, 3]",meal_ticket,20,2022-09-11 20:16:39
1466,5,"[3, 9, 5]",card,26,2022-08-13 14:26:32
4506,1,"[2, 3]",cash,12,2022-09-08 11:21:12
3431,2,"[10, 10, 17, 2]",cheque,25,2022-08-30 07:24:05
858,1,[21],cash,5,2022-08-08 12:56:59
532,7,"[13, 18, 21]",card,14,2022-08-05 16:31:05
4264,1,"[10, 17]",cash,10,2022-09-06 10:45:21
4938,1,"[13, 2, 11, 2]",cash,25,2022-09-11 21:46:29
3598,7,[22],cheque,14,2022-08-31 16:34:55
5783,2,"[4, 3]",card,7,2022-09-19 00:27:52
660,2,[18],meal_ticket,6,2022-08-06 18:00:30
4428,7,"[20, 4, 16]",cash,17,2022-09-07 17:27:21
2620,2,[11],cash,6,2022-08-23 11:31:10
3509,5,[1],cheque,6,2022-08-30 20:41:24
6840,2,"[4, 10]",cheque,10,2022-09-27 23:16:00
2447,7,"[20, 15]",meal_ticket,18,2022-08-21 20:37:38
2639,5,"[27, 3, 10]",card,23,2022-08-23 13:34:24
3601,1,"[18, 18, 20, 26]",cash,32,2022-08-31 17:38:19
5934,2,"[19, 16, 16]",card,19,2022-09-20 12:16:12
6803,7,"[17, 13]",cash,6,2022-09-27 19:44:20
6556,4,"[3, 2, 15]",card,22,2022-09-25 18:10:59
3650,3,"[2, 4, 4, 20]",cash,22,2022-08-31 23:36:21
2665,3,"[20, 13]",cheque,11,2022-08-23 18:32:01
6784,7,"[26, 29, 18]",meal_ticket,27,2022-09-27 16:18:03
1731,1,[17],cash,3,2022-08-15 19:43:11
4021,6,"[11, 19, 2]",cheque,21,2022-09-04 07:36:21
6835,7,"[5, 6, 1, 8]",cash,41,2022-09-27 22:55:52
876,7,"[18, 10]",meal_ticket,13,2022-08-08 14:01:11
1116,2,"[18, 21]",cheque,11,2022-08-10 15:23:32
4473,1,"[9, 7]",cash,23,2022-09-07 22:58:32
3797,5,"[21, 1]",meal_ticket,11,2022-09-02 11:10:54
6331,2,"[17, 17, 2, 20]",cheque,22,2022-09-23 19:24:16
6446,3,[2],cheque,8,2022-09-24 19:33:32
3450,1,[20],cash,8,2022-08-30 12:37:35
7158,3,"[17, 13, 17, 17]",card,12,2022-09-30 19:18:54
6286,4,"[2, 3]",cheque,12,2022-09-23 12:57:07
5739,2,"[4, 13, 3, 2]",card,18,2022-09-18 19:26:02
5290,3,"[11, 10, 7, 11]",card,32,2022-09-14 21:49:20
2098,4,"[11, 4]",cash,9,2022-08-18 21:40:04
2178,2,"[1, 1, 2, 18]",cheque,26,2022-08-19 15:41:40
1426,5,"[1, 3, 11, 4]",meal_ticket,19,2022-08-13 07:08:58
1112,5,"[1, 25, 25]",cash,26,2022-08-10 14:22:57
1754,4,"[2, 4, 14, 28]",cheque,32,2022-08-15 22:55:38
2635,1,"[23, 18, 16]",cash,22,2022-08-23 13:34:17
2770,4,"[21, 10]",cheque,12,2022-08-24 15:52:31
5629,2,"[26, 18]",card,18,2022-09-17 20:43:40
245,6,[10],cheque,7,2022-08-03 07:59:47
4876,3,"[17, 24]",cheque,14,2022-09-11 13:56:41
6607,3,[2],cash,8,2022-09-25 23:41:31
4088,3,"[18, 2]",cash,14,2022-09-04 19:05:21
4907,1,[14],cash,7,2022-09-11 18:47:31
3946,7,"[19, 11]",cash,13,2022-09-03 14:36:15
2492,3,"[13, 10, 11]",meal_ticket,16,2022-08-22 09:14:10
6483,2,[2],card,8,2022-09-24 23:54:31
3397,2,"[21, 8, 21]",meal_ticket,21,2022-08-29 21:54:27
596,2,"[13, 19, 2, 13]",cash,21,2022-08-06 05:30:32
4560,2,"[4, 4, 3, 4]",card,13,2022-09-08 19:56:21
4100,4,"[20, 17]",card,11,2022-09-04 20:40:01
4686,7,"[21, 4, 19]",card,15,2022-09-09 20:02:12
4194,4,[6],cash,12,2022-09-05 17:43:23
6474,4,[21],card,5,2022-09-24 22:40:52
3680,7,"[3, 21, 29]",cash,18,2022-09-01 11:47:45
3582,5,"[21, 16]",cash,11,2022-08-31 13:40:13
5191,6,"[7, 4, 2]",cash,24,2022-09-13 23:07:52
2048,3,"[26, 12]",cash,22,2022-08-18 13:18:24
3684,4,"[14, 19, 5]",card,26,2022-09-01 12:31:29
4832,1,[13],cash,3,2022-09-10 23:26:09
7175,2,"[11, 5, 2, 2]",card,34,2022-09-30 21:47:04
7145,4,"[2, 26, 17]",cash,23,2022-09-30 18:02:02
4312,1,"[12, 11, 1]",cash,22,2022-09-06 17:35:48
3886,1,"[3, 2]",cash,12,2022-09-02 23:11:54
573,7,"[23, 19, 21, 20]",cheque,30,2022-08-05 22:46:23
1583,1,"[20, 13]",cash,11,2022-08-14 14:12:38
6403,6,"[14, 7, 20]",meal_ticket,28,2022-09-24 12:04:22
6926,7,[20],meal_ticket,8,2022-09-28 19:20:26
4867,1,"[20, 23, 7, 1]",cash,37,2022-09-11 12:40:48
7160,3,"[3, 2, 13, 10]",meal_ticket,22,2022-09-30 19:19:34
1174,3,"[11, 16]",cash,12,2022-08-10 23:24:49
3767,5,"[13, 8]",meal_ticket,14,2022-09-01 22:14:51
5090,3,"[17, 2, 11, 11]",meal_ticket,23,2022-09-13 10:52:12
5438,3,"[13, 20]",meal_ticket,11,2022-09-16 07:39:51
5870,5,"[18, 26, 29, 16]",meal_ticket,33,2022-09-19 20:44:03
4456,3,[1],cash,6,2022-09-07 20:32:02
1398,5,"[8, 7, 12, 20]",cash,42,2022-08-12 21:27:01
383,7,"[19, 6, 4]",cheque,22,2022-08-04 12:29:02
224,3,"[13, 19, 16, 21]",card,21,2022-08-02 22:55:50
1373,5,"[23, 13, 13]",cash,16,2022-08-12 19:28:28
739,2,[7],cash,13,2022-08-07 12:36:51
483,1,"[10, 17]",cash,10,2022-08-05 08:44:20
4053,5,"[16, 11, 19, 21]",cheque,24,2022-09-04 13:30:23
921,7,[21],cash,5,2022-08-08 21:33:49
718,5,"[3, 4]",card,7,2022-08-07 07:46:16
2808,6,"[20, 24, 17]",cash,22,2022-08-24 21:51:39
2010,1,"[22, 13, 17, 9]",cash,30,2022-08-18 03:37:02
598,6,"[21, 3, 3]",card,13,2022-08-06 06:08:24
6796,6,"[2, 11, 2]",meal_ticket,22,2022-09-27 18:05:42
2244,7,"[3, 13, 2, 4]",card,18,2022-08-20 01:17:43
4902,1,"[20, 14, 2]",cash,23,2022-09-11 17:26:05
1402,1,"[1, 1]",cash,12,2022-08-12 22:23:30
6735,7,"[21, 19]",cheque,12,2022-09-27 07:04:48
4990,3,"[14, 2]",cash,15,2022-09-12 12:22:19
6573,1,"[11, 29, 25, 5]",cash,37,2022-09-25 20:09:17
871,7,"[11, 14]",cheque,13,2022-08-08 14:48:23
2925,1,"[3, 28, 19, 18]",cash,31,2022-08-25 21:07:45
4919,1,[4],cash,3,2022-09-11 19:46:31
517,1,"[10, 24, 4, 21]",cash,26,2022-08-05 14:32:09
4304,5,"[2, 18]",cash,14,2022-09-06 15:58:22
6512,7,"[26, 25, 21]",cash,27,2022-09-25 11:03:41
6621,4,"[2, 18, 10]",cash,21,2022-09-26 09:26:49
6797,1,"[2, 18, 3, 26]",cash,30,2022-09-27 18:03:02
6659,2,"[20, 11, 24, 24]",card,36,2022-09-26 14:48:38
2746,1,[14],cash,7,2022-08-24 12:09:52
420,5,"[13, 2]",meal_ticket,11,2022-08-04 18:09:41
1085,5,"[3, 16, 23, 15]",meal_ticket,30,2022-08-10 11:29:32
2561,5,"[2, 21, 14]",card,20,2022-08-22 20:00:42
4793,7,"[3, 13]",card,7,2022-09-10 18:29:35
5092,3,"[4, 13, 20, 4]",meal_ticket,17,2022-09-13 11:05:52
1756,5,[22],cash,14,2022-08-15 22:18:45
4979,5,"[1, 8, 25, 19]",card,34,2022-09-12 11:55:00
5391,4,"[3, 3, 3, 13]",cash,15,2022-09-15 19:50:58
2542,6,"[16, 3, 2]",cash,18,2022-08-22 17:39:14
3152,5,[17],cash,3,2022-08-27 20:31:49
3292,6,"[10, 19, 11]",cash,20,2022-08-28 22:21:07
3081,4,"[21, 2, 21]",card,18,2022-08-27 09:01:59
5464,3,[20],card,8,2022-09-16 13:04:08
288,7,"[20, 12, 2, 9]",cash,36,2022-08-03 14:22:19
3049,3,"[16, 6, 26]",cheque,30,2022-08-26 21:25:03
3151,2,"[3, 9, 20]",card,22,2022-08-27 20:20:05
4847,7,"[1, 18, 13]",cheque,15,2022-09-11 07:26:58
646,2,"[11, 11, 3]",cheque,16,2022-08-06 15:13:46
5167,7,"[13, 16]",meal_ticket,9,2022-09-13 21:36:59
6341,4,[16],cheque,6,2022-09-23 20:59:59
5991,4,[22],meal_ticket,14,2022-09-20 20:08:08
5573,3,"[18, 27]",cheque,18,2022-09-17 12:00:58
6273,3,"[4, 17]",cheque,6,2022-09-23 11:53:41
5627,7,"[3, 4, 18]",card,13,2022-09-17 19:53:50
6550,3,[21],meal_ticket,5,2022-09-25 16:33:14
1537,5,"[28, 4, 13]",card,20,2022-08-14 02:59:11
1389,1,[2],cash,8,2022-08-12 20:00:06
7073,3,"[17, 22]",card,17,2022-09-29 23:57:35
6553,1,"[4, 8]",cash,14,2022-09-25 17:23:56
975,5,"[16, 2, 10, 22]",meal_ticket,35,2022-08-09 12:39:27
1431,3,"[10, 4]",meal_ticket,10,2022-08-13 10:34:55
4391,3,"[1, 22, 5]",card,32,2022-09-07 11:24:43
6112,7,"[20, 19, 6, 2]",cheque,35,2022-09-21 21:26:15
4020,2,"[19, 18, 3, 18]",cheque,23,2022-09-04 06:20:49
1819,6,[9],cheque,10,2022-08-16 14:48:01
6663,4,"[10, 13, 17]",cheque,13,2022-09-26 15:59:28
2325,2,[5],meal_ticket,12,2022-08-20 20:20:40
2019,5,"[13, 4, 13]",cash,9,2022-08-18 09:13:01
1014,7,[3],cheque,4,2022-08-09 18:34:20
6010,4,[19],cheque,7,2022-09-20 23:41:01
3264,1,[3],cash,4,2022-08-28 19:35:27
5653,3,[1],meal_ticket,6,2022-09-17 22:20:53
1555,7,"[20, 3, 4]",card,15,2022-08-14 11:45:06
2800,3,[3],cheque,4,2022-08-24 20:08:50
1793,6,"[17, 16]",meal_ticket,9,2022-08-16 11:45:24
19,1,"[17, 1, 14, 21]",cash,21,2022-08-01 11:03:18
5432,5,"[13, 3, 4, 17]",cheque,13,2022-09-16 03:26:41
2724,4,"[16, 11, 3, 13]",cash,19,2022-08-24 07:50:06
6350,2,"[24, 4]",cheque,14,2022-09-23 21:53:28
4471,1,[11],cash,6,2022-09-07 22:00:28
5365,3,"[3, 17]",meal_ticket,7,2022-09-15 15:49:04
6667,2,[28],meal_ticket,14,2022-09-26 16:23:23
2616,3,"[20, 3, 24]",meal_ticket,23,2022-08-23 11:36:15
3283,7,[7],card,13,2022-08-28 21:27:17
4871,6,"[14, 24]",cheque,18,2022-09-11 12:57:45
2986,2,"[28, 8]",card,25,2022-08-26 13:44:44
3137,1,[3],cash,4,2022-08-27 18:23:43
6801,3,"[13, 13]",cash,6,2022-09-27 19:28:52
1511,2,"[1, 14, 17, 11]",cheque,22,2022-08-13 21:11:00
4483,3,[2],cash,8,2022-09-07 23:16:13
2993,4,"[14, 20, 2, 3]",cheque,27,2022-08-26 13:57:43
3043,2,"[23, 2]",card,18,2022-08-26 21:37:16
1437,3,[6],cash,12,2022-08-13 11:16:43
1081,7,"[3, 14, 21, 14]",cheque,23,2022-08-10 11:09:43
6473,3,"[9, 20]",cheque,18,2022-09-24 22:59:45
7179,7,"[20, 11, 25, 7]",cash,37,2022-09-30 21:50:36
5340,3,"[23, 16, 23, 25]",card,36,2022-09-15 12:04:44
5021,5,[5],card,12,2022-09-12 18:33:08
913,1,"[16, 7, 20, 15]",cash,37,2022-08-08 20:01:55
2717,1,[2],cash,8,2022-08-24 02:04:57
1500,3,"[8, 5, 26]",meal_ticket,35,2022-08-13 20:36:24
6127,5,[12],cash,10,2022-09-21 22:20:04
805,7,"[16, 29]",cheque,15,2022-08-07 21:30:56
2480,6,"[4, 3, 25, 13]",cheque,20,2022-08-22 01:16:23
4820,4,[17],cheque,3,2022-09-10 21:07:25
5632,4,"[26, 3, 23]",card,26,2022-09-17 20:18:54
4526,7,"[26, 14]",cheque,19,2022-09-08 13:35:18
3190,6,"[13, 17, 3]",meal_ticket,10,2022-08-28 03:02:01
5794,3,"[10, 11, 17]",cheque,16,2022-09-19 08:33:36
4073,1,[4],cash,3,2022-09-04 17:30:05
6975,4,"[16, 2, 1, 13]",cash,23,2022-09-29 09:45:55
2152,2,[13],card,3,2022-08-19 12:30:08
